47.7 71 272.5 232.9 236.8
254.7 153.8 53.7 98.3 23.6
66 30.2 157.4 122.5 199
319.3 295.9 221.5 212.9 116.4
51 50.3 0.5 0 23.2
131.1 593.2 627.6 674.8 407.4
341.6 179.4 86.8 206.8 6.5
20 47.5 126.5 130.2 61.9
326.1 220.8 107.2 142.2 84.9
121.7 77.6 111.3 59.7 146.4
175.6 337.5 203.5 358.6 89.8
257.1 55.5 90.4 75.1 26.2
284.9 201 183.3 257.1 164.2
204.1 244.7 195.3 153.4 69.1
23.8 18.7 37.2 68.5 281.2
252.2 316.2 179.5 116.3 121.4
59.9 35.2 49.1 48.2 22.7
82.5 177.7 312.4 464.1 179.2
95 64.1 NA NA NA
