NA 1.2 3 0.2 -1.4
-2.8 -3.6 -7 -3.2 NA
-3.6 NA 1 2 -1.4
-3.2 -2.8 -3.4 -3.8 -3.8
-6 -4 0 1.6 -10.2
3.2 1 1.5 -1 0.2
0 -5.5 NA -6.6 NA
-1.5 -1.2 1 2 0.9
0.1 -5 -4.9 -6.2 -7.5
-2 -1.8 0.4 0.2 2.5
1.8 0.6 -3 -3 -3.2
-2 0.1 -4.3 -1 -1
2.4 0.5 -0.9 0.5 -0.5
-2 -5.2 -10 -10 -3
-2 -2 -1 -0.7 0.5
0.2 1 NA -15.4 NA
-3.8 -1.4 -3.6 0.3 1
1.5 -1.5 0.2 3 -3.1
-2.2 -2.4 -4.2 -4.2 -1.4
0.2 NA NA NA -0.4
1.1 -4 -2.6 -4 -6.7
NA NA -6.1 NA -1.5
-0.4 -0.2 -3 NA -3
-3.3 -3.3 -2.2 -1.6 0.3
-4 1.4 -0.2 NA -3
NA NA -6.2 -2 -3
NA NA 1.4 1.1 1.5
1 -2.3 0.2 -3.2 -5
-5.1 -5.1 -1.3 -0.9 NA
